UCP;Varialble;FECHA;TIPO_DIA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;Total
MC-SIN;Demanda_Real;2020-09-18;VIERNES;7339,0799;7066,02433;6889,96309;6814,49307;6908,17154;7069,08943;7331,64302;7973,40393;8521,7509;8802,15407;9092,14412;9340,22377;9290,60988;9234,28483;9203,8640699999;9153,83041;8973,67132;8885,224;9582,86974;9626,4793;9405,71959;8979,41272;8352,45159;7770,59501;201607,15363
MC-SIN;Demanda_Real;2020-09-19;SABADO;7282,5476;7002,75565;6807,92202;6750,98923;6785,64853;6818,03751;6931,38886;7504,36869;8030,73362;8419,42136;8766,0748799999;8918,46953;8909,17818;8706,42343;8487,39713;8444,91974;8358,5329;8373,62391;9172,00778;9172,14666;8961,53604;8449,84016;7865,07231;7325,4788;192244,51452
MC-SIN;Demanda_Real;2020-09-20;DOMINGO;6905,94099;6560,25896;6394,40418;6327,98342;6362,25946;6352,38374;6137,69284;6350,43916;6541,19523;7088,72292;7354,60575;7587,84511;7698,68863;7634,07025;7452,18082;7291,05651;7198,21534;7334,79253;8344,63669;8598,95121;8470,11233;8207,37449;7762,21814;7180,25743;173136,28613
MC-SIN;Demanda_Real;2020-09-21;LUNES;6944,86302;6685,31664;6507,18119;6468,28141;6555,7348;6711,43157;7049,30302;7746,70592;8307,33232;8656,46162;9110,50242;9438,7239;9454,50215;9381,48417;9341,76949;9233,27832;8980,75473;8772,08372;9462,82493;9557,16137;9326,86724;8839,7063;8223,55525;7606,11812;198361,94362
MC-SIN;Demanda_Real;2020-09-22;MARTES;7163,97661;6909,39362;6745,7537;6676,71246;6794,11718;6919,64986;7223,57804;7902,13451;8415,84454;8743,56068;9129,35032;9482,90376;9512,96986;9507,13279;9507,3512;9492,34477;9243,15128;9000,202;9805,70068;9916,34758;9648,23746;9201,20921;8576,38405;7944,58677;203462,59293
MC-SIN;Demanda_Real;2020-09-23;MIERCOLES;7407,32129;7124,37612;6960,60035;6890,74736;6965,57043;7140,00485;7365,00413;8003,36108;8515,38077;8839,18726;9165,00476;9452,8481599999;9426,33164;9347,49975;9352,89267;9304,35769;9109,02366;8992,50292;9756,65795;9820,8671;9565,76243;9114,3604;8400,83786;7803,33883;203823,83946
MC-SIN;Demanda_Real;2020-09-24;JUEVES;7305,76727;7024,21766;6841,3417;6752,99031;6839,33842;7011,00518;7236,35398;7879,99677;8337,8389;8550,44576;8844,02389;9166,25262;9109,57859;9070,11991;9132,30525;9113,34553;8888,00679;8771,05634;9555,96529;9598,6557;9353,3928;8855,87636;8179,93502;7540,05743;198957,86747
MC-SIN;Demanda_Real;2020-09-25;VIERNES;7071,13354;6749,00564;6538,0553;6474,81741;6568,08845;6735,64813;7088,0007;7766,82264;8330,87068;8643,72445;8985,93557;9300,47716;9292,65411;9242,72006;9318,93734;9247,03556;9054,2601799999;8940,0754;9655,42867;9667,2702;9446,83631;9032,09265;8426,97459;7847,04558;199423,91032
MC-SIN;Demanda_Real;2020-09-26;SABADO;7376,27028;7097,09703;6916,49611;6838,20222;6918,7599;6946,15548;7062,28299;7576,43668;8116,10549;8525,60349;8869,16433;9057,45772;8935,15139;8727,84641;8540,69799;8429,8604;8228,91246;8239,82983;9143,83731;9141,95075;8859,9128999999;8441,51845;7922,80685;7429,52632;193341,88278
MC-SIN;Demanda_Real;2020-09-27;DOMINGO;6927,87403;6648,76728;6445,3106;6296,41424;6259,587;6190,0735;6042,76322;6350,96499;6740,3363;7085,89171;7340,41662;7527,14797;7640,82861;7549,74104;7402,18779;7296,32421;7183,96428;7301,22303;8247,23211;8424,54554;8278,97441;7966,13823;7526,31101;7009,94478;171682,9625
MC-SIN;Demanda_Real;2020-09-28;LUNES;6682,42322;6531,42344;6406,84937;6339,69356;6462,67247;6671,79744;7001,9187099999;7660,07854;8260,42414;8659,90058;9030,96119;9358,70714;9346,96461;9358,28499;9419,00587;9262,8243;9060,74513;8869,85736;9567,49717;9608,17357;9408,40876;8972,95041;8303,65515;7652,96692;197898,18404
MC-SIN;Demanda_Real;2020-09-29;MARTES;7134,49013;6913,052;6775,94951;6675,79795;6785,3943;6923,13064;7220,48305;7876,20027;8447,93881;8750,66487;9121,69557;9426,13704;9426,46357;9382,91403;9434,2691;9381,82225;9174,48244;8995,11152;9772,52066;9789,98989;9586,15914;9107,35556;8364,51673;7718,47507;202185,0141
MC-SIN;Demanda_Real;2020-09-30;MIERCOLES;7260,68525;6944,37079;6758,66237;6665,67468;6743,28019;6834,66291;7178,38388;7788,33362;8249,18229;8557,74336;8877,55484;9111,22196;9123,66151;9111,4705699999;9204,93553;9162,67618;8978,62722;8885,60221;9596,6150299999;9663,28644;9440,22151;8969,686;8292,96174;7604,49037;199003,99045
