UCP;Varialble;FECHA;TIPO_DIA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;Total
MC-SIN;Demanda_Real;2020-08-18;MADLF;6941,28257;6719,48723;6565,74013;6527,13896;6602,71088;6780,31356;7045,75972;7703,36101;8246,88102;8591,72151;8938,02924;9246,51959;9234,88492;9201,93075;9281,9949699999;9249,43203;8995,8577999999;8785,1554799999;9291,7301699999;9639,31795;9473,06571;9080,19208;8483,00975;7793,62502;198419,14205
MC-SIN;Demanda_Real;2020-08-19;MIERCOLES;7342,3202;7078,6518;6926,36809;6810,01231;6892,87821;7035,72486;7251,04725;7837,40147;8301,5274799999;8557,61655;8839,44373;9132,47439;9180,27918;9139,9315599999;9032,42506;8957,61944;8744,67716;8614,31521;9211,84693;9424,48256;9246,85125;8868,75498;8220,97952;7604,2312;198251,86039
MC-SIN;Demanda_Real;2020-08-20;JUEVES;7196,82933;6944,07025;6770,84855;6708,49015;6788,41066;6962,56194;7209,64607;7818,64251;8278,3942;8579,5415;8843,72475;9161,32462;9167,95653;9125,39859;9179,1823399999;9136,78595;8877,75776;8640,63985;9222,81157;9551,76808;9346,92782;8968,53712;8411,76576;7698,10493;198590,12083
MC-SIN;Demanda_Real;2020-08-21;VIERNES;7243,78689;6995,07351;6819,58468;6704,82829;6753,5081;6941,33062;7171,9318;7800,44758;8313,8562;8625,82742;8906,73009;9223,29754;9242,56322;9197,16255;9250,32303;9215,95334;8949,3189699999;8664,75168;9111,7651999999;9496,85889;9336,14068;8909,99505;8306,02938;7669,51219;198850,5769
MC-SIN;Demanda_Real;2020-08-22;SABADO;7267,13601;7000,97764;6806,41187;6707,80058;6759,17648;6816,33218;6827,38931;7295,66639;7781,31167;8138,20332;8473,60382;8707,9945;8731,17084;8593,79283;8438,79582;8250,60111;8056,06581;7989,07466;8650,25854;8963,61046;8742,56172;8314,95583;7783,46945;7235,41134;188331,77218
MC-SIN;Demanda_Real;2020-08-23;DOMINGO;6849,301;6580,58342;6366,66779;6231,02976;6199,31124;6115,40302;5900,98269;6187,08807;6590,11926;6937,17871;7256,66847;7528,27367;7669,81087;7635,6682;7472,00613;7314,46822;7207,1699199999;7200,32423;7991,48982;8370,418;8278,23017;7954,13901;7508,35747;7034,58253;170379,27167
MC-SIN;Demanda_Real;2020-08-24;LUNES;6706,88044;6434,26713;6338,3289;6287,48203;6406,74058;6566,04407;6874,03605;7539,67399;8100,7024;8449,60033;8745,118;9111,2151;9118,12995;9064,4752099999;9100,46784;9033,45532;8856,02385;8663,66904;9238,69873;9488,28424;9286,8831;8822,40539;8188,45108;7499,87375;193920,90652
MC-SIN;Demanda_Real;2020-08-25;MARTES;7080,0232;6839,85315;6685,16533;6587,90452;6647,34063;6838,96418;7110,52715;7713,96217;8148,46898;8413,02362;8724,76906;9013,51533;9034,9623799999;9016,63369;9080,9556899999;8993,15186;8812,02388;8568,41592;9177,44012;9453,61887;9219,08386;8793,21549;8221,88307;7571,39822;195746,30037
MC-SIN;Demanda_Real;2020-08-26;MIERCOLES;7131,72208;6888,05014;6732,70335;6662,83625;6746,84021;6930,6653;7191,62956;7783,09229;8233,6364;8511,26475;8801,14354;9054,48354;9078,86741;9019,61948;9058,80224;8974,42352;8794,21334;8547,93832;9162,33566;9454,34744;9297,92821;8944,86224;8329,03795;7697,72491;197028,16813
MC-SIN;Demanda_Real;2020-08-27;JUEVES;7227,83391;6968,94083;6832,14685;6749,50614;6843,81348;6986,84901;7243,46588;7849,65543;8301,87809;8620,84515;8925,6341;9222,57917;9224,51683;9168,91078;9147,59585;9157,81646;8924,20027;8593,17131;9300,7930599999;9654,43618;9442,93863;9078,3777399999;8423,17201;7724,03617;199613,11333
MC-SIN;Demanda_Real;2020-08-28;VIERNES;7337,91469;7074,71905;6839,6899;6804,91786;6888,93989;6999,04959;7261,81974;7898,55976;8414,32874;8750,11268;9056,82576;9338,88283;9335,35409;9322,18745;9392,73341;9353,99891;9108,18152;8727,65042;9345,51556;9676,4147;9519,9700899999;9134,61118;8611,03216;7984,445;202177,85498
MC-SIN;Demanda_Real;2020-08-29;SABADO;7550,89624;7245,91626;7051,25279;6935,46472;6958,86029;7036,44106;7084,04093;7521,77644;8055,34125;8415,64544;8753,44783;8980,13325;8986,11979;8849,81109;8627,54923;8452,08939;8304,04995;8161,00841;8850,60446;9017,02037;8787,58079;8405,3898;7882,37947;7402,89759;193315,71684
MC-SIN;Demanda_Real;2020-08-30;DOMINGO;6984,81934;6683,68612;6470,72617;6350,81243;6277,13803;6201,55534;5959,1816;6178,35577;6530,90564;6856,87764;7147,72134;7391,05929;7514,36049;7492,74205;7384,23532;7291,52655;7192,60679;7144,87175;8065,40978;8458,6993;8373,55065;8053,44841;7654,00575;7180,16822;170838,46377
MC-SIN;Demanda_Real;2020-08-31;LUNES;6811,03425;6562,69685;6473,52065;6389,95347;6476,93647;6660,68011;6978,48478;7615,09474;8179,12425;8575,86664;8919,01007;9182,95946;9216,68603;9165,56299;9164,33629;9129,04569;8952,30581;8704,12805;9306,71788;9484,32367;9325,29151;8944,51393;8324,23797;7668,2938;196210,80536
