UCP;Varialble;FECHA;TIPO_DIA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;Total
MC-SIN;Demanda_Real;2020-07-18;SAALF;7478,89601;7152,52876;6896,38547;6763,76415;6801,82226;6787,17096;6804,27734;7281,12443;7787,21024;8128,93447;8491,52954;8770,88419;8828,13802;8728,68733;8597,519;8422,61071;8196,81631;8075,87101;8658,8639;9095,37707;8902,82519;8547,80448;8003,56146;7531,50445;190734,10675
MC-SIN;Demanda_Real;2020-07-19;DOALF;7155,67509;6888,84424;6670,84563;6522,749;6448,03146;6299,12463;6065,36564;6338,45565;6692,57694;7027,49034;7274,29747;7579,31348;7825,66229;7829,78237;7725,17786;7623,17865;7483,58439;7375,0633;8018,40158;8637,2402;8565,73974;8271,5119599999;7834,09853;7359,41965;175511,63009
MC-SIN;Demanda_Real;2020-07-20;20--JUL;6971,38479;6689,07931;6509,66267;6357,79959;6316,08135;6270,92729;6113,45662;6383,13235;6785,65672;7183,89676;7486,69665;7772,42065;7932,95448;7959,00824;7848,96507;7764,35333;7581,01029;7493,9485;8241,7303;8807,64351;8664,60743;8304,10661;7829,15578;7298,68733;176566,36562
MC-SIN;Demanda_Real;2020-07-21;MADLF;6932,40389;6757,94069;6606,3965;6547,74125;6606,11166;6766,76056;7028,94841;7683,65631;8215,00135;8545,77751;8910,04586;9200,1763;9247,5544;9162,5969;9063,37104;8921,48748;8700,08661;8485,58811;8969,80969;9368,17883;9133,22257;8738,03314;8154,75636;7501,25414;195246,89956
MC-SIN;Demanda_Real;2020-07-22;MIERCOLES;7096,26324;6863,78156;6729,91817;6641,63115;6729,02382;6834,73076;7058,96818;7658,66351;8104,99215;8398,84465;8662,64593;8955,9296;8945,34362;8979,56169;9011,79182;8944,37837;8761,60763;8510,83708;9039,59655;9473,88223;9319,97526;8920,02985;8300,694;7620,68439;195563,77521
MC-SIN;Demanda_Real;2020-07-23;JUEVES;7232,87596;7012,72724;6845,60482;6741,76135;6821,3552;6973,61453;7165,81753;7774,15928;8244,50718;8503,59684;8750,37514;9037,37991;9003,23285;8995,53913;9005,85224;8954,54761;8788,65854;8537,81313;8968,47712;9445,88971;9273,04389;8871,05681;8285,82768;7677,35462;196911,06831
MC-SIN;Demanda_Real;2020-07-24;VIERNES;7272,44371;7011,02604;6821,56232;6718,26684;6777,60009;6904,93045;7081,91684;7617,86235;8022,41869;8258,55028;8528,09679;8826,30471;8838,37413;8793,49857;8804,26475;8780,04426;8566,62685;8428,22776;8945,09779;9319,5829;9071,2472;8719,47421;8196,18786;7576,79274;193880,39813
MC-SIN;Demanda_Real;2020-07-25;SABADO;7142,96034;6863,32867;6671,71682;6551,2855;6551,71208;6624,55233;6619,14869;7060,80896;7481,53158;7723,15786;8009,82468;8294,82978;8358,90926;8261,78438;8116,45394;7967,51444;7783,79253;7706,26177;8287,6674;8702,60941;8491,37437;8115,13577;7604,22158;7115,31758;182105,89972
MC-SIN;Demanda_Real;2020-07-26;DOMINGO;6708,78208;6431,00486;6251,99192;6158,15614;6139,33071;6072,61233;5873,5248;6141,41915;6548,26892;6904,35588;7186,37625;7449,99023;7662,20159;7735,01373;7652,48063;7506,15107;7333,18902;7274,41938;7987,85394;8534,24685;8418,68519;8131,71719;7621,4026;7106,87833;170830,05279
MC-SIN;Demanda_Real;2020-07-27;LUNES;6769,62287;6534,85389;6368,53527;6348,19727;6441,86349;6607,0334;6868,23211;7533,32359;8068,82314;8354,76281;8671,40696;8962,01066;9044,19206;9046,15207;9106,03892;9017,0896499999;8785,01822;8552,41772;9047,2592;9468,7245;9291,31702;8897,68831;8323,29256;7630,35769;193738,21338
MC-SIN;Demanda_Real;2020-07-28;MARTES;7198,87202;6948,61181;6756,05361;6690,78149;6769,0023;6907,85152;7150,30036;7792,81384;8291,75166;8581,77144;8928,08304;9234,07554;9242,5101;9224,5671;9243,92905;9232,19004;9008,55818;8684,84237;9106,4377;9669,2017;9503,949;9144,19897;8536,91675;7785,70203;199632,97162
MC-SIN;Demanda_Real;2020-07-29;MIERCOLES;7360,77441;7118,95796;6963,96216;6886,46213;6965,12311;7070,79136;7276,43736;7861,83034;8379,71981;8688,15224;8960,09209;9297,20163;9293,79938;9295,88174;9327,81201;9246,00349;8975,2467;8695,25515;9137,46832;9588,32886;9465,31669;9104,76968;8529,19936;7860,55093;201349,13691
MC-SIN;Demanda_Real;2020-07-30;JUEVES;7361,55523;7085,14163;6914,27475;6808,2791;6884,92381;6999,91058;7191,01651;7850,65614;8374,48143;8694,09897;8882,38979;9174,65199;9229,90468;9252,0515999999;9341,07465;9232,90059;8956,81055;8632,82189;9100,08765;9583,77211;9458,13152;9082,47187;8468,81019;7820,53936;200380,75659
MC-SIN;Demanda_Real;2020-07-31;VIERNES;7385,48324;7129,89864;6966,70004;6848,37514;6886,49178;6965,2717;7155,70758;7766,21165;8280,37433;8643,40733;8950,17114;9234,01983;9270,26172;9226,1662;9269,52077;9131,83447;8899,13373;8627,69809;9073,99295;9528,85941;9364,00975;9033,34814;8515,22864;7882,64922;200034,81549
